Survived,Pclass,Sex,Age,SibSp,Parch,Fare,HasCabin,FamilySize,IsAlone,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare
0,3,0,-0.5574601720312115,1,0,-0.5024451714361923,0,0.059159876663617626,0,False,True,False,True,False,False
1,3,1,-0.25582246236620043,0,0,-0.4888542575852486,0,-0.5609748304808925,1,False,True,True,False,False,False
1,1,1,0.42286238438007456,1,0,0.4207302360686478,1,0.059159876663617626,0,False,True,False,False,True,False
0,3,0,0.42286238438007456,0,0,-0.4863374216869257,0,-0.5609748304808925,1,False,True,False,True,False,False
0,3,0,0.04581524729881069,0,0,-0.47811642890864375,0,-0.5609748304808925,1,True,False,False,True,False,False
0,1,0,1.8556415052888773,0,0,0.395813560675251,1,-0.5609748304808925,1,False,True,False,True,False,False
0,3,0,-2.065648720356267,3,1,-0.22408312108167944,0,1.9195639980971482,0,False,True,False,False,False,False
1,3,1,-0.18041303494994762,0,2,-0.4242561406845337,0,0.6792945838081278,0,False,True,False,False,True,False
1,2,1,-1.1607355913612336,1,0,-0.04295550208861426,0,0.059159876663617626,0,False,False,False,False,True,False
1,3,1,-1.9148298655237614,1,1,-0.312172377522981,1,0.6792945838081278,0,False,True,True,False,False,False
1,1,1,2.1572792149538884,0,0,-0.11384570873513637,1,-0.5609748304808925,1,False,True,True,False,False,False
0,3,0,-0.708279026863717,0,0,-0.4863374216869257,0,-0.5609748304808925,1,False,True,False,True,False,False
0,3,0,0.7245000940450856,1,5,-0.01870931177853076,0,3.1598334123861687,0,False,True,False,True,False,False
0,3,1,-1.1607355913612336,0,0,-0.4902797934380587,0,-0.5609748304808925,1,False,True,True,False,False,False
1,2,1,1.93105093270513,0,0,-0.3262666585535892,0,-0.5609748304808925,1,False,True,False,False,True,False
0,3,0,-2.065648720356267,4,1,-0.06199888922968463,0,2.5396987052416584,0,True,False,False,False,False,False
1,2,0,0.04581524729881069,0,0,-0.3866707201133388,0,-0.5609748304808925,1,False,True,False,True,False,False
0,3,1,0.12122467471506346,1,0,-0.2859972841804228,0,0.059159876663617626,0,False,True,False,False,True,False
1,3,1,0.42286238438007456,0,0,-0.5029485386158568,0,-0.5609748304808925,1,False,False,False,False,True,False
0,2,0,0.42286238438007456,0,0,-0.12491978668775715,0,-0.5609748304808925,1,False,True,False,True,False,False
1,2,0,0.3474529569638218,0,0,-0.3866707201133388,1,-0.5609748304808925,1,False,True,False,True,False,False
1,3,1,-1.085326163944981,0,0,-0.4867562231804066,0,-0.5609748304808925,1,True,False,True,False,False,False
1,1,0,-0.10500360753369486,0,0,0.06635974158478332,1,-0.5609748304808925,1,False,True,False,True,False,False
0,3,1,-1.6131921558587503,3,1,-0.22408312108167944,0,1.9195639980971482,0,False,True,True,False,False,False
1,3,1,0.6490906666288329,1,5,-0.016444159470040135,0,3.1598334123861687,0,False,True,False,False,True,False
0,3,0,0.04581524729881069,0,0,-0.5029485386158568,0,-0.5609748304808925,1,False,False,False,True,False,False
1,3,1,-0.6328695994474642,0,0,-0.48977642625839407,0,-0.5609748304808925,1,True,False,True,False,False,False
0,3,0,0.04581524729881069,0,0,-0.4894421904510968,0,-0.5609748304808925,1,False,True,False,True,False,False
0,1,0,0.7999095214613384,0,0,-0.09027201697708476,0,-0.5609748304808925,1,False,False,False,False,False,True
1,3,1,-0.6328695994474642,0,0,-0.49237782784290063,0,-0.5609748304808925,1,True,False,True,False,False,False
0,2,0,2.7605546342839102,0,0,-0.43700743807979686,0,-0.5609748304808925,1,False,True,False,True,False,False
0,1,0,0.950728376293844,1,0,0.39858208016340624,0,0.059159876663617626,0,False,True,False,True,False,False
1,3,0,0.04581524729881069,0,0,-0.5028639729296732,0,-0.5609748304808925,1,False,False,False,True,False,False
0,3,0,-0.6328695994474642,0,0,-0.4863374216869257,0,-0.5609748304808925,1,False,True,False,True,False,False
0,3,1,-0.8590978816962226,2,0,-0.2859972841804228,0,0.6792945838081278,0,False,True,True,False,False,False
1,3,1,-1.1607355913612336,1,0,-0.42207354059350805,0,0.059159876663617626,0,False,False,True,False,False,False
0,3,1,0.7999095214613384,1,0,-0.4576454924460446,0,0.059159876663617626,0,False,True,False,False,True,False
0,2,1,-0.18041303494994762,1,0,-0.22559322262067316,0,0.059159876663617626,0,False,True,False,False,True,False
0,3,0,0.04581524729881069,0,0,-0.4894421904510968,0,-0.5609748304808925,1,False,False,False,True,False,False
1,2,1,-1.9902392929400141,1,2,0.18876253192945994,0,1.299429290952638,0,False,False,True,False,False,False
1,3,1,-0.7836884542799698,0,0,-0.48977642625839407,0,-0.5609748304808925,1,True,False,True,False,False,False
0,3,0,0.04581524729881069,0,0,-0.4863374216869257,0,-0.5609748304808925,1,False,True,False,True,False,False
0,3,0,0.04581524729881069,1,0,-0.3363340021468808,0,0.059159876663617626,0,True,False,False,True,False,False
1,3,1,-0.6328695994474642,0,0,-0.49237782784290063,0,-0.5609748304808925,1,True,False,True,False,False,False
0,3,0,0.04581524729881069,2,0,-0.21191774308354583,0,0.6792945838081278,0,False,False,False,True,False,False
0,3,1,-0.8590978816962226,1,0,-0.29002422161773944,0,0.059159876663617626,0,False,True,False,False,True,False
0,3,0,-1.6886015832750032,4,1,0.1506737441786005,0,2.5396987052416584,0,False,True,False,False,False,False
0,3,0,-0.6328695994474642,0,0,-0.4913710934835715,0,-0.5609748304808925,1,False,True,False,True,False,False
1,2,1,-0.029594180117442085,1,0,-0.12491978668775715,0,0.059159876663617626,0,False,True,False,False,True,False
0,1,0,2.6851452068676576,0,1,0.5995101505357573,1,0.059159876663617626,0,False,False,False,True,False,False
1,1,0,0.04581524729881069,0,0,0.06635974158478332,1,-0.5609748304808925,1,False,True,False,True,False,False
